Дата;Товар;Акция;Выходной;ПроданоСеть;ПоступилоСеть;ОстатокСеть;КоличествоЧеков;КоличествоЧековСеть;День_недели;Месяц;День;Год;Продано;Заказ;Поступило;Остаток;Продано_1д_назад;Поступило_1д_назад;Остаток_1д_назад;КоличествоЧеков_1д_назад;Заказ_1д_назад;Продано_частота_7д;Продано_частота_14д;Продано_частота_21д;Продано_темп_7д;Продано_темп_14д;Продано_темп_21д;ПроданоСеть_1д_назад;ПоступилоСеть_1д_назад;ОстатокСеть_1д_назад;КоличествоЧековСеть_1д_назад;ПроданоСеть_частота_7д;ПроданоСеть_частота_14д;ПроданоСеть_частота_21д;ПроданоСеть_темп_7д;ПроданоСеть_темп_14д;ПроданоСеть_темп_21д;Продажи_7д_вперёд
2024-02-22;N00000000842;0;0;3.0;2;106.0;0.0;3.0;3;2;22;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;107.0;2.0;7.0;14.0;21.0;2.0;2.642857142857143;2.5714285714285716;0.0
2024-02-23;N00000000842;0;1;0.0;1;107.0;0.0;0.0;4;2;23;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;106.0;2.0;7.0;14.0;21.0;2.2857142857142856;2.7857142857142856;2.5238095238095237;0.0
2024-02-24;N00000000842;0;1;4.0;0;103.0;0.0;4.0;5;2;24;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;107.0;2.0;6.0;13.0;20.0;1.8571428571428572;2.4285714285714284;2.380952380952381;0.0
2024-02-25;N00000000842;0;1;3.0;1;101.0;0.0;3.0;6;2;25;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;103.0;2.0;6.0;13.0;20.0;2.2857142857142856;2.5714285714285716;2.5238095238095237;0.0
2024-02-26;N00000000842;0;0;2.0;0;99.0;0.0;2.0;0;2;26;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;101.0;2.0;6.0;13.0;20.0;2.4285714285714284;2.4285714285714284;2.619047619047619;0.0
2024-02-27;N00000000842;0;0;0.0;2;101.0;0.0;0.0;1;2;27;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;99.0;2.0;6.0;13.0;20.0;2.2857142857142856;2.2857142857142856;2.5714285714285716;0.0
2024-02-28;N00000000842;0;0;1.0;5;105.0;0.0;1.0;2;2;28;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;101.0;2.0;5.0;12.0;19.0;2.142857142857143;1.9285714285714286;2.4761904761904763;0.0
2024-02-29;N00000000842;0;0;1.0;3;107.0;0.0;1.0;3;2;29;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;105.0;2.0;5.0;12.0;19.0;1.8571428571428572;1.9285714285714286;2.380952380952381;0.0
2024-03-01;N00000000842;0;0;2.0;4;109.0;0.0;2.0;4;3;1;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;107.0;2.0;5.0;12.0;19.0;1.5714285714285714;1.9285714285714286;2.380952380952381;0.0
2024-03-02;N00000000842;0;1;0.0;2;111.0;0.0;0.0;5;3;2;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;109.0;2.0;6.0;12.0;19.0;1.8571428571428572;1.8571428571428572;2.238095238095238;0.0
